game_year,batter,stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
2024,444482,L,L,1,FF,2,1,0.5
2024,444482,L,L,2,FC,1,1,1.0
2024,444482,L,L,2,FF,1,1,1.0
2024,444482,L,L,2,SI,2,1,0.5
2024,444482,L,L,2,SL,2,0,0.0
2024,444482,L,L,3,FA,1,0,0.0
2024,444482,L,L,3,FF,1,1,1.0
2024,444482,L,L,3,SI,2,2,1.0
2024,444482,L,L,4,FF,4,2,0.5
2024,444482,L,L,4,SI,1,1,1.0
2024,444482,L,L,4,SL,1,1,1.0
2024,444482,L,L,4,ST,1,0,0.0
2024,444482,L,L,5,FC,1,1,1.0
2024,444482,L,L,5,FF,2,1,0.5
2024,444482,L,L,5,SI,4,2,0.5
2024,444482,L,L,6,SI,4,3,0.75
2024,444482,L,L,6,SL,1,0,0.0
2024,444482,L,L,7,SI,2,1,0.5
2024,444482,L,L,7,SL,2,2,1.0
2024,444482,L,L,8,SI,6,4,0.6666666666666666
2024,444482,L,L,8,SL,1,1,1.0
2024,444482,L,L,8,ST,1,0,0.0
2024,444482,L,L,9,FF,1,1,1.0
2024,444482,L,L,9,SI,2,1,0.5
2024,444482,L,L,9,SL,1,1,1.0
2024,444482,L,L,9,ST,1,1,1.0
2024,444482,L,L,11,FA,2,0,0.0
2024,444482,L,L,11,FF,1,0,0.0
2024,444482,L,L,11,SI,3,1,0.3333333333333333
2024,444482,L,L,11,ST,1,1,1.0
2024,444482,L,L,12,FA,1,0,0.0
2024,444482,L,L,12,FC,1,0,0.0
2024,444482,L,L,12,FF,1,0,0.0
2024,444482,L,L,12,SI,4,1,0.25
2024,444482,L,L,12,ST,2,1,0.5
2024,444482,L,L,13,CU,3,1,0.3333333333333333
2024,444482,L,L,13,FA,1,0,0.0
2024,444482,L,L,13,FC,1,0,0.0
2024,444482,L,L,13,FF,4,0,0.0
2024,444482,L,L,13,KC,2,1,0.5
2024,444482,L,L,13,SI,5,1,0.2
2024,444482,L,L,13,SL,9,1,0.1111111111111111
2024,444482,L,L,13,ST,7,1,0.14285714285714285
2024,444482,L,L,14,CU,3,2,0.6666666666666666
2024,444482,L,L,14,SI,4,0,0.0
2024,444482,L,L,14,ST,2,1,0.5
2024,444482,L,R,1,CH,6,4,0.6666666666666666
2024,444482,L,R,1,CU,3,1,0.3333333333333333
2024,444482,L,R,1,FC,2,0,0.0
2024,444482,L,R,1,FF,33,23,0.696969696969697
