game_year,stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
2024,L,L,1,CH,9,5,0.5555555555555556
2024,L,L,1,CU,60,21,0.35
2024,L,L,1,FA,3,1,0.3333333333333333
2024,L,L,1,FC,148,74,0.5
2024,L,L,1,FF,1159,663,0.5720448662640207
2024,L,L,1,FS,1,1,1.0
2024,L,L,1,KC,8,3,0.375
2024,L,L,1,SI,358,95,0.26536312849162014
2024,L,L,1,SL,253,130,0.5138339920948617
2024,L,L,1,ST,148,86,0.581081081081081
2024,L,L,1,SV,11,6,0.5454545454545454
2024,L,L,2,CH,24,18,0.75
2024,L,L,2,CU,77,33,0.42857142857142855
2024,L,L,2,EP,1,1,1.0
2024,L,L,2,FA,2,2,1.0
2024,L,L,2,FC,163,97,0.5950920245398773
2024,L,L,2,FF,1382,1107,0.8010130246020261
2024,L,L,2,FS,2,1,0.5
2024,L,L,2,KC,19,10,0.5263157894736842
2024,L,L,2,SI,699,432,0.6180257510729614
2024,L,L,2,SL,368,220,0.5978260869565217
2024,L,L,2,ST,174,101,0.5804597701149425
2024,L,L,2,SV,8,3,0.375
2024,L,L,3,CH,40,30,0.75
2024,L,L,3,CU,73,30,0.410958904109589
2024,L,L,3,EP,2,2,1.0
2024,L,L,3,FA,6,4,0.6666666666666666
2024,L,L,3,FC,67,34,0.5074626865671642
2024,L,L,3,FF,1022,835,0.8170254403131115
2024,L,L,3,FS,2,2,1.0
2024,L,L,3,KC,19,8,0.42105263157894735
2024,L,L,3,SI,763,564,0.7391874180865007
2024,L,L,3,SL,238,113,0.47478991596638653
2024,L,L,3,ST,134,52,0.3880597014925373
2024,L,L,3,SV,14,5,0.35714285714285715
2024,L,L,4,CH,44,23,0.5227272727272727
2024,L,L,4,CU,135,85,0.6296296296296297
2024,L,L,4,EP,2,1,0.5
2024,L,L,4,FA,3,2,0.6666666666666666
2024,L,L,4,FC,315,234,0.7428571428571429
2024,L,L,4,FF,1469,791,0.5384615384615384
2024,L,L,4,FS,2,1,0.5
