outcome,launch_angle_bucket,spray_angle_bucket,runner,plus_1,plus_2,plus_3,n
double,-10-0,-45 to -20,runner_1b_move,0,29,22,51
double,-10-0,-45 to -20,runner_2b_move,0,33,0,33
double,-10-0,-45 to -20,runner_3b_move,21,0,0,21
double,-10-0,20 to 45,runner_1b_move,0,7,8,15
double,-10-0,20 to 45,runner_2b_move,0,15,0,15
double,-10-0,20 to 45,runner_3b_move,9,0,0,9
double,-10-0,5 to 20,runner_1b_move,0,1,0,1
double,-20--10,-45 to -20,runner_1b_move,0,16,11,27
double,-20--10,-45 to -20,runner_2b_move,0,12,0,12
double,-20--10,-45 to -20,runner_3b_move,6,0,0,6
double,-20--10,-5 to 5,runner_1b_move,0,1,0,1
double,-20--10,20 to 45,runner_1b_move,0,3,2,5
double,-20--10,20 to 45,runner_2b_move,0,4,0,4
double,-20--10,20 to 45,runner_3b_move,3,0,0,3
double,-30--20,-45 to -20,runner_1b_move,0,7,0,7
double,-30--20,-45 to -20,runner_2b_move,0,3,0,3
double,-30--20,-45 to -20,runner_3b_move,3,0,0,3
double,-30--20,20 to 45,runner_1b_move,0,5,1,6
double,-30--20,20 to 45,runner_3b_move,1,0,0,1
double,-40--30,-45 to -20,runner_1b_move,0,2,0,2
double,-40--30,-45 to -20,runner_2b_move,0,1,0,1
double,-40--30,-45 to -20,runner_3b_move,1,0,0,1
double,-40--30,20 to 45,runner_1b_move,0,1,2,3
double,-40--30,20 to 45,runner_2b_move,0,1,0,1
double,-40--30,20 to 45,runner_3b_move,1,0,0,1
double,-50--40,-45 to -20,runner_1b_move,0,1,0,1
double,-50--40,-45 to -20,runner_2b_move,0,1,0,1
double,-80--70,20 to 45,runner_3b_move,1,0,0,1
double,0-10,-20 to -5,runner_1b_move,0,12,6,18
double,0-10,-20 to -5,runner_2b_move,0,17,0,17
double,0-10,-20 to -5,runner_3b_move,6,0,0,6
double,0-10,-45 to -20,runner_1b_move,0,82,63,145
double,0-10,-45 to -20,runner_2b_move,0,65,0,65
double,0-10,-45 to -20,runner_3b_move,38,0,0,38
double,0-10,-5 to 5,runner_1b_move,0,1,0,1
double,0-10,-5 to 5,runner_2b_move,0,1,0,1
double,0-10,20 to 45,runner_1b_move,0,51,20,71
double,0-10,20 to 45,runner_2b_move,0,45,0,45
double,0-10,20 to 45,runner_3b_move,22,0,0,22
double,0-10,5 to 20,runner_1b_move,0,13,5,18
double,0-10,5 to 20,runner_2b_move,0,10,0,10
double,0-10,5 to 20,runner_3b_move,4,0,0,4
double,10-20,-20 to -5,runner_1b_move,0,72,99,171
double,10-20,-20 to -5,runner_2b_move,0,93,0,93
double,10-20,-20 to -5,runner_3b_move,56,0,0,56
double,10-20,-45 to -20,runner_1b_move,0,184,89,273
double,10-20,-45 to -20,runner_2b_move,0,147,0,147
double,10-20,-45 to -20,runner_3b_move,73,0,0,73
double,10-20,-5 to 5,runner_1b_move,0,18,11,29
double,10-20,-5 to 5,runner_2b_move,0,13,0,13
double,10-20,-5 to 5,runner_3b_move,7,0,0,7
double,10-20,20 to 45,runner_1b_move,0,142,68,210
double,10-20,20 to 45,runner_2b_move,0,105,0,105
double,10-20,20 to 45,runner_3b_move,61,0,0,61
double,10-20,5 to 20,runner_1b_move,0,60,92,152
double,10-20,5 to 20,runner_2b_move,0,74,0,74
double,10-20,5 to 20,runner_3b_move,48,0,0,48
double,20-30,-20 to -5,runner_1b_move,0,64,84,148
double,20-30,-20 to -5,runner_2b_move,3,89,0,92
double,20-30,-20 to -5,runner_3b_move,42,0,0,42
double,20-30,-45 to -20,runner_1b_move,0,111,40,151
double,20-30,-45 to -20,runner_2b_move,0,86,0,86
double,20-30,-45 to -20,runner_3b_move,47,0,0,47
double,20-30,-5 to 5,runner_1b_move,0,20,23,43
double,20-30,-5 to 5,runner_2b_move,2,22,0,24
double,20-30,-5 to 5,runner_3b_move,19,0,0,19
double,20-30,20 to 45,runner_1b_move,0,92,38,130
double,20-30,20 to 45,runner_2b_move,1,73,0,74
