game_year,pitcher,throws
2024,434378,R
2024,445276,R
2024,445926,R
2024,448179,L
2024,450203,R
2024,453286,R
2024,455119,R
2024,456501,R
2024,458677,L
2024,458681,R
2024,471911,R
2024,472610,R
2024,476595,L
2024,477132,L
2024,489119,L
2024,489446,R
2024,493603,R
2024,500743,R
2024,500779,L
2024,502043,R
2024,502085,R
2024,502171,R
2024,502179,R
2024,502624,R
2024,503449,R
2024,506433,R
2024,516853,R
2024,518397,L
2024,518489,R
2024,518585,R
2024,518586,R
2024,518617,L
2024,518633,L
2024,518876,R
2024,518886,R
2024,519008,L
2024,519043,L
2024,519141,L
2024,519151,R
2024,519242,L
2024,519293,L
2024,519326,R
2024,523260,R
2024,527048,L
2024,527054,R
2024,528748,R
2024,541640,R
2024,542585,R
2024,542881,L
2024,542882,R
2024,542888,R
2024,542947,L
2024,543037,R
2024,543056,L
2024,543063,R
2024,543135,R
2024,543238,L
2024,543243,R
2024,543294,R
2024,543305,R
2024,543339,R
2024,543351,R
2024,543391,R
2024,543475,R
2024,543510,R
2024,543518,R
2024,543606,R
2024,543766,R
2024,543859,R
2024,544150,R
2024,545121,R
2024,546276,L
2024,547001,R
2024,547179,R
2024,547184,R
2024,547973,L
2024,548384,L
2024,548389,R
2024,552640,R
2024,554340,R
2024,554430,R
2024,554431,L
2024,570257,L
2024,570632,R
2024,570666,R
2024,571466,R
2024,571479,R
2024,571510,L
2024,571527,R
2024,571539,R
2024,571578,L
2024,571656,R
2024,571657,R
2024,571670,R
2024,571710,R
2024,571760,L
2024,571771,R
2024,571863,R
2024,571882,R
2024,571912,R
2024,571927,L
2024,571945,R
2024,571946,R
2024,571948,L
2024,572020,L
2024,572143,R
2024,572383,L
2024,572888,R
2024,572955,R
2024,572971,L
2024,573009,L
2024,573124,L
2024,573186,R
2024,573204,L
2024,573262,L
2024,579328,L
2024,592094,R
2024,592155,L
2024,592169,R
2024,592288,L
2024,592332,R
2024,592351,R
2024,592426,R
2024,592454,R
2024,592473,L
2024,592662,L
2024,592712,R
2024,592716,R
2024,592741,L
2024,592767,L
2024,592773,R
2024,592779,R
2024,592791,R
2024,592836,R
2024,592866,R
2024,593334,R
2024,593423,R
2024,593576,R
2024,593833,R
2024,593934,R
2024,593958,L
2024,593974,L
2024,594577,R
2024,594580,L
2024,594798,R
2024,594835,L
2024,594902,R
2024,595014,R
2024,595345,L
2024,595881,R
2024,595897,R
2024,595928,R
2024,595978,R
2024,596001,R
2024,596117,R
2024,596133,R
2024,596271,R
2024,596295,L
2024,598264,R
2024,598286,L
2024,600917,R
2024,600986,R
2024,601713,R
2024,605121,R
2024,605130,R
2024,605135,R
2024,605154,R
2024,605155,R
2024,605156,R
2024,605177,L
2024,605182,R
2024,605200,R
2024,605218,R
2024,605280,R
2024,605288,R
2024,605335,L
2024,605347,R
2024,605397,R
2024,605400,R
2024,605441,R
2024,605447,R
2024,605452,R
2024,605463,R
2024,605483,L
