inning,runs_scored_game,runs_scored_inning,total_appearances,total_pulled,pull_probability
1,0,0,15374,283,0.018407701313906597
1,1,1,3299,83,0.025159139133070628
1,2,2,1591,45,0.028284098051539912
1,3,3,779,46,0.059050064184852376
1,4,4,327,29,0.08868501529051988
1,5,5,128,17,0.1328125
1,6,6,39,16,0.41025641025641024
1,7,7,10,4,0.4
1,8,8,2,2,1.0
1,9,9,4,2,0.5
2,0,0,11947,312,0.026115342763873776
2,1,0,2373,63,0.02654867256637168
2,1,1,2108,53,0.025142314990512334
2,2,0,1126,35,0.03108348134991119
2,2,1,447,23,0.05145413870246085
2,2,2,1004,35,0.0348605577689243
2,3,0,525,23,0.04380952380952381
2,3,1,220,12,0.05454545454545454
2,3,2,208,13,0.0625
2,3,3,463,28,0.06047516198704104
2,4,0,198,11,0.05555555555555555
2,4,1,105,8,0.0761904761904762
2,4,2,101,10,0.09900990099009901
2,4,3,98,14,0.14285714285714285
2,4,4,179,13,0.07262569832402235
2,5,0,80,5,0.0625
2,5,1,45,6,0.13333333333333333
2,5,2,46,9,0.1956521739130435
2,5,3,62,14,0.22580645161290322
2,5,4,49,16,0.32653061224489793
2,5,5,83,13,0.1566265060240964
2,6,0,14,0,0.0
2,6,1,13,5,0.38461538461538464
2,6,2,31,8,0.25806451612903225
2,6,3,40,18,0.45
2,6,4,26,11,0.4230769230769231
2,6,5,22,8,0.36363636363636365
2,6,6,34,11,0.3235294117647059
2,7,0,4,0,0.0
2,7,1,7,2,0.2857142857142857
2,7,2,9,4,0.4444444444444444
2,7,3,13,5,0.38461538461538464
2,7,4,11,6,0.5454545454545454
2,7,5,8,5,0.625
2,7,6,13,8,0.6153846153846154
2,7,7,14,8,0.5714285714285714
2,8,2,1,1,1.0
2,8,3,3,2,0.6666666666666666
2,8,4,9,6,0.6666666666666666
2,8,5,5,4,0.8
2,8,6,1,1,1.0
2,8,7,3,2,0.6666666666666666
2,8,8,3,1,0.3333333333333333
2,9,0,1,0,0.0
2,9,2,2,1,0.5
2,9,4,6,4,0.6666666666666666
2,9,5,2,1,0.5
2,9,7,2,1,0.5
2,9,8,2,2,1.0
2,9,9,1,1,1.0
2,10,1,1,0,0.0
2,10,4,1,1,1.0
2,10,7,1,1,1.0
2,10,9,1,1,1.0
2,10,10,1,0,0.0
3,0,0,9458,246,0.02600972721505604
3,1,0,3044,126,0.04139290407358739
3,1,1,1799,67,0.03724291272929405
3,2,0,1714,82,0.047841306884480746
3,2,1,665,34,0.05112781954887218
3,2,2,880,46,0.05227272727272727
3,3,0,897,56,0.06243032329988852
3,3,1,394,48,0.1218274111675127
3,3,2,353,39,0.11048158640226628
3,3,3,441,39,0.08843537414965986
3,4,0,449,42,0.0935412026726058
3,4,1,225,44,0.19555555555555557
3,4,2,212,43,0.2028301886792453
3,4,3,164,26,0.15853658536585366
3,4,4,190,26,0.1368421052631579
3,5,0,222,27,0.12162162162162163
3,5,1,93,21,0.22580645161290322
3,5,2,108,33,0.3055555555555556
3,5,3,89,18,0.20224719101123595
3,5,4,78,22,0.28205128205128205
3,5,5,76,21,0.27631578947368424
3,6,0,90,19,0.2111111111111111
3,6,1,46,19,0.41304347826086957
3,6,2,39,19,0.48717948717948717
3,6,3,59,32,0.5423728813559322
3,6,4,33,16,0.48484848484848486
3,6,5,28,13,0.4642857142857143
3,6,6,18,11,0.6111111111111112
3,7,0,28,7,0.25
3,7,1,14,8,0.5714285714285714
3,7,2,24,12,0.5
3,7,3,30,17,0.5666666666666667
3,7,4,28,17,0.6071428571428571
3,7,5,14,9,0.6428571428571429
3,7,6,7,4,0.5714285714285714
3,7,7,12,6,0.5
3,8,0,6,1,0.16666666666666666
3,8,1,10,8,0.8
3,8,2,9,7,0.7777777777777778
3,8,3,5,4,0.8
3,8,4,7,5,0.7142857142857143
3,8,5,6,5,0.8333333333333334
3,8,6,4,4,1.0
3,8,7,2,2,1.0
3,8,8,3,0,0.0
3,9,0,3,0,0.0
3,9,1,1,0,0.0
3,9,2,1,1,1.0
3,9,3,3,3,1.0
3,9,5,4,2,0.5
3,9,6,1,1,1.0
3,10,0,2,0,0.0
3,10,1,1,0,0.0
3,10,3,1,0,0.0
3,10,7,2,2,1.0
3,11,2,2,2,1.0
4,0,0,8304,259,0.031189788053949903
4,1,0,3283,238,0.07249466950959488
4,1,1,1744,102,0.058486238532110095
4,2,0,2294,244,0.10636442894507411
4,2,1,698,90,0.12893982808022922
4,2,2,812,78,0.0960591133004926
4,3,0,1368,216,0.15789473684210525
4,3,1,421,73,0.17339667458432304
4,3,2,332,76,0.2289156626506024
4,3,3,384,48,0.125
4,4,0,752,165,0.21941489361702127
4,4,1,283,76,0.26855123674911663
4,4,2,204,74,0.3627450980392157
4,4,3,140,41,0.29285714285714287
4,4,4,176,39,0.2215909090909091
4,5,0,368,105,0.28532608695652173
4,5,1,153,68,0.4444444444444444
4,5,2,138,66,0.4782608695652174
4,5,3,71,36,0.5070422535211268
4,5,4,60,33,0.55
4,5,5,67,27,0.40298507462686567
4,6,0,128,49,0.3828125
4,6,1,77,41,0.5324675324675324
4,6,2,76,54,0.7105263157894737
4,6,3,44,26,0.5909090909090909
4,6,4,31,21,0.6774193548387096
