game_year,batter,bats
2024,444482,L
2024,453568,L
2024,455117,R
2024,456781,R
2024,457705,R
2024,457759,R
2024,458015,L
2024,462101,R
2024,467055,L
2024,467793,B
2024,493329,R
2024,500743,R
2024,500871,L
2024,501303,B
2024,502054,R
2024,502110,R
2024,502671,R
2024,506702,L
2024,514888,R
2024,516782,R
2024,518595,R
2024,518692,L
2024,518735,B
2024,518792,L
2024,518934,R
2024,519058,L
2024,519203,L
2024,519317,R
2024,521692,R
2024,527038,R
2024,541645,R
2024,541650,R
2024,542194,R
2024,542208,R
2024,542303,R
2024,542364,L
2024,542932,R
2024,542963,L
2024,543063,L
2024,543068,R
2024,543228,R
2024,543257,B
2024,543305,B
2024,543309,R
2024,543510,R
2024,543518,R
2024,543592,R
2024,543685,R
2024,543760,R
2024,543807,R
2024,543877,R
2024,543939,L
2024,544725,L
2024,545121,B
2024,545341,R
2024,545350,R
2024,545358,R
2024,545361,R
2024,546990,R
2024,546991,R
2024,546994,R
2024,547180,L
2024,547379,R
2024,547989,R
2024,553869,R
2024,553882,L
2024,553993,R
2024,570481,R
2024,570482,R
2024,570560,L
2024,571448,R
2024,571466,L
2024,571657,R
2024,571745,R
2024,571771,R
2024,571875,L
2024,571912,R
2024,571970,L
2024,572039,R
2024,572138,L
2024,572191,R
2024,572204,R
2024,572228,R
2024,572233,R
2024,572761,L
2024,573262,L
2024,575929,R
2024,578428,R
2024,592178,R
2024,592192,R
2024,592200,R
2024,592205,R
2024,592206,R
2024,592273,R
2024,592325,L
2024,592348,B
2024,592450,R
2024,592518,R
2024,592622,L
2024,592626,L
2024,592663,R
2024,592669,R
2024,592696,L
2024,592885,L
2024,593160,R
2024,593428,R
2024,593871,B
2024,593934,R
2024,594807,R
2024,595281,L
2024,595284,L
2024,595453,R
2024,595751,R
2024,595777,B
2024,595879,R
2024,595909,L
2024,595943,R
2024,595956,R
2024,595978,R
2024,596019,B
2024,596103,R
2024,596115,R
2024,596117,L
2024,596129,L
2024,596142,R
2024,596146,L
2024,596847,L
2024,600869,B
2024,602104,R
2024,605113,R
2024,605119,R
2024,605131,R
2024,605137,B
2024,605141,R
2024,605170,B
2024,605204,R
2024,605244,R
2024,605346,R
2024,605361,L
2024,605421,L
2024,605548,L
2024,606019,L
2024,606115,R
2024,606192,R
2024,606466,B
2024,606992,R
2024,607043,L
2024,607054,L
2024,607208,R
2024,607680,R
2024,607732,R
2024,608070,B
2024,608324,R
2024,608336,L
2024,608348,R
2024,608369,L
2024,608385,L
2024,608422,L
2024,608596,R
2024,608671,L
2024,608701,R
2024,608841,R
2024,609274,R
2024,609280,R
2024,613546,R
2024,613564,L
2024,620443,R
2024,621008,R
2024,621020,R
2024,621028,R
2024,621035,R
2024,621043,R
2024,621311,L
2024,621433,L
2024,621438,R
