stand,p_throws,zone,pitch_type,ball_in_play,foul,swinging_strike,total_swings,pct_swinging_strike,pct_foul,pct_ball_in_play
L,L,1.0,CH,35,27,10,72,0.1388888888888889,0.375,0.4861111111111111
L,L,1.0,CU,135,99,42,276,0.15217391304347827,0.358695652173913,0.4891304347826087
L,L,1.0,EP,0,1,0,1,0.0,1.0,0.0
L,L,1.0,FA,2,5,0,7,0.0,0.7142857142857143,0.2857142857142857
L,L,1.0,FC,243,309,134,686,0.19533527696793002,0.45043731778425655,0.35422740524781343
L,L,1.0,FF,1402,2566,1280,5248,0.24390243902439024,0.4889481707317073,0.26714939024390244
L,L,1.0,FS,3,1,2,6,0.3333333333333333,0.16666666666666666,0.5
L,L,1.0,KC,23,23,3,49,0.061224489795918366,0.46938775510204084,0.46938775510204084
L,L,1.0,SI,283,394,164,841,0.19500594530321047,0.4684898929845422,0.33650416171224734
L,L,1.0,SL,406,429,235,1070,0.21962616822429906,0.4009345794392523,0.3794392523364486
L,L,1.0,ST,102,99,58,259,0.22393822393822393,0.38223938223938225,0.3938223938223938
L,L,1.0,SV,9,14,7,30,0.23333333333333334,0.4666666666666667,0.3
L,L,2.0,CH,126,85,30,241,0.12448132780082988,0.35269709543568467,0.5228215767634855
L,L,2.0,CS,1,0,0,1,0.0,0.0,1.0
L,L,2.0,CU,247,186,62,495,0.12525252525252525,0.37575757575757573,0.498989898989899
L,L,2.0,EP,0,1,0,1,0.0,1.0,0.0
L,L,2.0,FA,1,4,0,5,0.0,0.8,0.2
L,L,2.0,FC,321,352,163,836,0.19497607655502391,0.42105263157894735,0.3839712918660287
L,L,2.0,FF,2476,4172,1849,8497,0.21760621395786747,0.49099682240790865,0.29139696363422385
L,L,2.0,FS,3,5,0,8,0.0,0.625,0.375
L,L,2.0,KC,49,45,7,101,0.06930693069306931,0.44554455445544555,0.48514851485148514
L,L,2.0,KN,1,1,0,2,0.0,0.5,0.5
L,L,2.0,SC,1,1,0,2,0.0,0.5,0.5
L,L,2.0,SI,995,1114,357,2466,0.14476885644768855,0.45174371451743717,0.4034874290348743
L,L,2.0,SL,597,686,293,1576,0.18591370558375633,0.4352791878172589,0.37880710659898476
L,L,2.0,ST,113,140,66,319,0.20689655172413793,0.438871473354232,0.3542319749216301
L,L,2.0,SV,7,17,4,28,0.14285714285714285,0.6071428571428571,0.25
L,L,3.0,CH,132,162,34,328,0.10365853658536585,0.49390243902439024,0.4024390243902439
L,L,3.0,CU,127,126,30,283,0.10600706713780919,0.4452296819787986,0.44876325088339225
L,L,3.0,EP,2,0,0,2,0.0,0.0,1.0
L,L,3.0,FA,3,5,1,9,0.1111111111111111,0.5555555555555556,0.3333333333333333
L,L,3.0,FC,122,167,74,363,0.20385674931129477,0.46005509641873277,0.33608815426997246
