stand,p_throws,zone,pitch_type,velocity_bucket,double,home_run,out,single,triple,n
L,R,1,FF,85-90,0.15,0.05,0.65,0.13,0.02,1000
L,R,1,FF,90-95,0.12,0.08,0.60,0.18,0.02,1000
L,R,1,FF,95+,0.10,0.12,0.55,0.20,0.03,1000
L,R,2,FF,85-90,0.18,0.06,0.58,0.15,0.03,1000
L,R,2,FF,90-95,0.15,0.10,0.52,0.20,0.03,1000
L,R,2,FF,95+,0.12,0.15,0.48,0.22,0.03,1000
L,R,3,FF,85-90,0.20,0.08,0.52,0.17,0.03,1000
L,R,3,FF,90-95,0.17,0.12,0.45,0.23,0.03,1000
L,R,3,FF,95+,0.14,0.18,0.40,0.25,0.03,1000
L,R,4,FF,85-90,0.22,0.10,0.48,0.17,0.03,1000
L,R,4,FF,90-95,0.19,0.15,0.40,0.23,0.03,1000
L,R,4,FF,95+,0.16,0.22,0.35,0.24,0.03,1000
L,R,5,FF,85-90,0.25,0.12,0.43,0.17,0.03,1000
L,R,5,FF,90-95,0.22,0.18,0.35,0.22,0.03,1000
L,R,5,FF,95+,0.19,0.25,0.30,0.23,0.03,1000
L,R,6,FF,85-90,0.28,0.15,0.38,0.16,0.03,1000
L,R,6,FF,90-95,0.25,0.22,0.30,0.20,0.03,1000
L,R,6,FF,95+,0.22,0.30,0.25,0.20,0.03,1000
L,R,7,FF,85-90,0.30,0.18,0.33,0.16,0.03,1000
L,R,7,FF,90-95,0.27,0.25,0.25,0.20,0.03,1000
L,R,7,FF,95+,0.24,0.35,0.20,0.18,0.03,1000
L,R,8,FF,85-90,0.32,0.22,0.28,0.15,0.03,1000
L,R,8,FF,90-95,0.29,0.30,0.20,0.18,0.03,1000
L,R,8,FF,95+,0.26,0.40,0.15,0.16,0.03,1000
L,R,9,FF,85-90,0.35,0.25,0.23,0.14,0.03,1000
L,R,9,FF,90-95,0.32,0.35,0.15,0.15,0.03,1000
L,R,9,FF,95+,0.29,0.45,0.10,0.13,0.03,1000
R,R,1,FF,85-90,0.14,0.04,0.67,0.13,0.02,1000
R,R,1,FF,90-95,0.11,0.07,0.62,0.18,0.02,1000
R,R,1,FF,95+,0.09,0.11,0.57,0.20,0.03,1000
R,R,2,FF,85-90,0.17,0.05,0.60,0.15,0.03,1000
R,R,2,FF,90-95,0.14,0.09,0.54,0.20,0.03,1000
R,R,2,FF,95+,0.11,0.14,0.50,0.22,0.03,1000
R,R,3,FF,85-90,0.19,0.07,0.54,0.17,0.03,1000
R,R,3,FF,90-95,0.16,0.11,0.47,0.23,0.03,1000
R,R,3,FF,95+,0.13,0.17,0.42,0.25,0.03,1000
R,R,4,FF,85-90,0.21,0.09,0.50,0.17,0.03,1000
R,R,4,FF,90-95,0.18,0.14,0.42,0.23,0.03,1000
R,R,4,FF,95+,0.15,0.21,0.37,0.24,0.03,1000
R,R,5,FF,85-90,0.24,0.11,0.45,0.17,0.03,1000
R,R,5,FF,90-95,0.21,0.17,0.37,0.22,0.03,1000
R,R,5,FF,95+,0.18,0.24,0.32,0.23,0.03,1000
R,R,6,FF,85-90,0.27,0.14,0.40,0.16,0.03,1000
R,R,6,FF,90-95,0.24,0.21,0.32,0.20,0.03,1000
R,R,6,FF,95+,0.21,0.29,0.27,0.20,0.03,1000
R,R,7,FF,85-90,0.29,0.17,0.35,0.16,0.03,1000
R,R,7,FF,90-95,0.26,0.24,0.27,0.20,0.03,1000
R,R,7,FF,95+,0.23,0.34,0.22,0.18,0.03,1000
R,R,8,FF,85-90,0.31,0.21,0.30,0.15,0.03,1000
R,R,8,FF,90-95,0.28,0.29,0.22,0.18,0.03,1000
R,R,8,FF,95+,0.25,0.39,0.17,0.16,0.03,1000
R,R,9,FF,85-90,0.34,0.24,0.25,0.14,0.03,1000
R,R,9,FF,90-95,0.31,0.34,0.17,0.15,0.03,1000
R,R,9,FF,95+,0.28,0.44,0.12,0.13,0.03,1000 
