stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
L,L,1.0,CH,156,72,0.46153846153846156
L,L,1.0,CU,679,276,0.406480117820324
L,L,1.0,EP,2,1,0.5
L,L,1.0,FA,10,7,0.7
L,L,1.0,FC,1174,686,0.5843270868824532
L,L,1.0,FF,8801,5248,0.5962958754686968
L,L,1.0,FS,7,6,0.8571428571428571
L,L,1.0,KC,120,49,0.4083333333333333
L,L,1.0,SI,2173,841,0.38702254947077774
L,L,1.0,SL,2119,1070,0.5049551675318547
L,L,1.0,ST,422,259,0.6137440758293838
L,L,1.0,SV,62,30,0.4838709677419355
L,L,2.0,CH,332,241,0.7259036144578314
L,L,2.0,CS,1,1,1.0
L,L,2.0,CU,1034,495,0.4787234042553192
L,L,2.0,EP,1,1,1.0
L,L,2.0,FA,6,5,0.8333333333333334
L,L,2.0,FC,1270,836,0.658267716535433
L,L,2.0,FF,10809,8497,0.7861041724488852
L,L,2.0,FS,15,8,0.5333333333333333
L,L,2.0,KC,232,101,0.4353448275862069
L,L,2.0,KN,2,2,1.0
L,L,2.0,SC,2,2,1.0
L,L,2.0,SI,3835,2466,0.6430247718383312
L,L,2.0,SL,2744,1576,0.5743440233236151
L,L,2.0,ST,545,319,0.5853211009174312
L,L,2.0,SV,62,28,0.45161290322580644
L,L,3.0,CH,451,328,0.7272727272727273
L,L,3.0,CU,847,283,0.33412042502951594
L,L,3.0,EP,2,2,1.0
L,L,3.0,FA,12,9,0.75
L,L,3.0,FC,664,363,0.5466867469879518
L,L,3.0,FF,7166,5512,0.7691878314261792
L,L,3.0,FS,11,9,0.8181818181818182
L,L,3.0,KC,193,78,0.40414507772020725
L,L,3.0,KN,1,1,1.0
L,L,3.0,SI,4298,3228,0.7510469986040018
L,L,3.0,SL,1965,903,0.4595419847328244
L,L,3.0,ST,408,170,0.4166666666666667
L,L,3.0,SV,53,19,0.3584905660377358
L,L,4.0,CH,508,341,0.6712598425196851
L,L,4.0,CU,1758,1121,0.6376564277588168
L,L,4.0,EP,2,1,0.5
L,L,4.0,FA,8,6,0.75
L,L,4.0,FC,2657,2054,0.7730523146405721
L,L,4.0,FF,12685,7192,0.5669688608592827
L,L,4.0,FS,26,19,0.7307692307692307
L,L,4.0,KC,319,194,0.6081504702194357
L,L,4.0,KN,6,4,0.6666666666666666
L,L,4.0,SC,1,0,0.0
L,L,4.0,SI,5095,2143,0.42060843964671246
L,L,4.0,SL,5942,4313,0.7258498821945473
L,L,4.0,ST,1245,906,0.727710843373494
L,L,4.0,SV,171,120,0.7017543859649122
