rosterTeamId,playerId,fullName,saveOpportunities,holds,bullpenAppearances,season,bullpenOrder,abbreviation
108,502032,Bud Norris,23,3,57,2017,1,LAA
108,453284,Blake Parker,11,15,71,2017,2,LAA
108,592135,Cam Bedrosian,11,10,48,2017,3,LAA
108,641871,Keynan Middleton,5,10,64,2017,4,LAA
108,433589,Yusmeiro Petit,5,15,59,2017,5,LAA
108,489446,Kirby Yates,4,20,61,2017,6,LAA
108,501625,Jose Alvarez,3,13,64,2017,7,LAA
108,456696,David Hernandez,2,8,38,2017,8,LAA
109,407845,Fernando Rodney,45,0,61,2017,1,ARI
109,605151,Archie Bradley,7,25,63,2017,2,ARI
109,543331,J.J. Hoover,2,10,52,2017,3,ARI
109,456696,David Hernandez,2,8,38,2017,4,ARI
109,517414,Randall Delgado,2,2,21,2017,5,ARI
109,407822,Jorge De La Rosa,1,17,65,2017,6,ARI
109,545332,Jake Barrett,1,2,28,2017,7,ARI
109,642073,Jimmie Sherfy,1,2,11,2017,8,ARI
110,542960,Brad Brach,24,9,67,2017,1,BAL
110,502154,Zack Britton,17,0,38,2017,2,BAL
110,571710,Mychal Givens,6,21,69,2017,3,BAL
110,503285,Darren O'Day,4,17,64,2017,4,BAL
110,543118,Oliver Drake,4,6,61,2017,5,BAL
110,643354,Donnie Hart,2,5,51,2017,6,BAL
110,542947,Richard Bleier,0,3,57,2017,7,BAL
110,612434,Miguel Castro,0,1,38,2017,8,BAL
111,518886,Craig Kimbrel,39,1,67,2017,1,BOS
111,592665,Addison Reed,21,4,48,2017,2,BOS
111,523260,Joe Kelly,4,13,54,2017,3,BOS
111,598264,Matt Barnes,3,21,70,2017,4,BOS
111,592390,Heath Hembree,3,14,62,2017,5,BOS
111,472551,Fernando Abad,3,2,48,2017,6,BOS
111,582494,Robby Scott,2,12,57,2017,7,BOS
111,519443,Brandon Workman,1,4,33,2017,8,BOS
112,451584,Wade Davis,33,0,59,2017,1,CHC
112,458677,Justin Wilson,15,8,42,2017,2,CHC
112,493157,Koji Uehara,5,14,49,2017,3,CHC
112,605218,Carl Edwards Jr.,4,25,73,2017,4,CHC
112,467008,Pedro Strop,4,21,69,2017,5,CHC
112,444468,Héctor Rondón,3,10,61,2017,6,CHC
112,518748,Justin Grimm,3,4,50,2017,7,CHC
112,543557,Mike Montgomery,3,1,30,2017,8,CHC
113,628452,Raisel Iglesias,30,0,63,2017,1,CIN
113,547179,Michael Lorenzen,8,18,70,2017,2,CIN
113,519322,Drew Storen,3,6,58,2017,3,CIN
113,593974,Wandy Peralta,2,16,69,2017,4,CIN
113,502028,Blake Wood,1,3,55,2017,5,CIN
113,594992,Kevin Shackelford,1,3,26,2017,6,CIN
113,571561,Tony Cingrani,1,4,25,2017,7,CIN
113,596112,Robert Stephenson,1,0,14,2017,8,CIN
114,592102,Cody Allen,34,4,69,2017,1,CLE
114,543766,Bryan Shaw,6,26,79,2017,2,CLE
114,453192,Andrew Miller,4,27,57,2017,3,CLE
114,501925,Joe Smith,1,13,38,2017,4,CLE
114,457429,Boone Logan,1,4,38,2017,5,CLE
114,621397,Tyler Olson,1,8,30,2017,6,CLE
114,444520,Craig Breslow,1,0,30,2017,7,CLE
